record_type,family_id,family_name,segment_id,taxonomy_segment,repo_segment,planet,target_field_id,operation,applicability,source_brand,source_channel,source_type,connection_method,evidence_ceiling,visibility,freshness_rule,consent_requirement,activation_rule,rationale,authority_reference,status,implementation_note
segment_baseline,F2,Vocal Artist,01,Identity & Entity Resolution,Identity & Entity Resolution,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,02,Positioning & Brand,Positioning & Brand,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,03,Catalog / Repertoire,Catalogue / Repertoire,music,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,04,Creative Quality & Differentiation,Creative Quality & Differentiation,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,05,Streaming Consumption & Discovery,Streaming Consumption,music,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,06,Audience & Fanbase,Audience & Fanbase,audience,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,07,Social & Content Engine,Social & Content Engine,audience,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,08,Owned Community / CRM,Owned Community / CRM,audience,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,09,Live Footprint & Performance Capability,Live Footprint & Performance,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,10,"Ticketing, Draw & Event Economics","Ticketing, Draw & Event Evidence",proof,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
